ris_type,type,paper_id,title,date,abstract,volume,isbn,pages,url,journal
JOUR,article,752,[Estimation of future epidemiological trends of tuberculosis in Japan and the evaluation of tuberculosis control programmes by simulation analysis],1971-01-01,Journal Article Japan [Tuberculosis],46,0022-9776 (Print),99-111,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=5572852,Kekkaku
JOUR,article,973,The effect of tuberculin reversion upon the estimate of the annual risk of tuberculous infection. Tuberculosis Surveillance Research Unit Report No. 2,1971-01-01,"TY - JOUR TB Transmission, pathogenesis, and epidemiology Infection with tubercle bacilli Predict epi: risk of infection Risk of infection - models L1 - file://C:\literature_pdf\rm04516.pdf",45,NA,115-118,NA,NA
BILL,misc,685,Endogenous reactivation and exogenous reinfection: their relative importance with regard to the development of non-primary tuberculosis,1972-01-01,NA,47,NA,116-34,http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Retrieve&list_uids=5077111&dopt=abstractplus,Bull Int Union Tuberc
BILL,misc,822,[Mathematical model of pulmonary tuberculosis and its treatment by lowering the partial pressure of oxygen],1972-01-01,NA,205,NA,1237-9,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=5086128,Dokl Akad Nauk SSSR
BILL,misc,681,[Mathematical model in tuberculosis],1973-01-01,NA,22,NA,561-84,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=4775093,Ftiziologia
JOUR,article,809,"Disease, cure, and death: epidemiologic and clinical parameters for chronic diseases illustrated by a model - tuberculosis",1973-01-01,"TY - JOUR TB Transmission, pathogenesis, and epidemiology Tuberculosis Predict epi of morbidity:prospects for the epidemic",97,NA,148-159,NA,NA
JOUR,article,848,Evolution of the rates of tuberculous infection in France and calculation of the annual risk by means of a mathematical model,1973-01-01,"TY - JOUR TB Transmission, pathogenesis, and epidemiology Infection with tubercle bacilli Predict epi: risk of infection Risk of infection - models",2,NA,265-282,NA,Int J Epidemiol
JOUR,article,933,[A Markovian model in tuberculosis epidemiology],1973-01-01,"Owing to the wide range of tuberculo statics, the treatment of tuberculosis",22,NA,585-92,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=4775094,Ftiziologia
JOUR,article,720,Annual risk of tuberculosis infection in the Transkei. Problems connected with its estimation from the data of a tuberculin survey,1974-01-01,"IN FILE TB Transmission, pathogenesis, and epidemiology Tuberculosis Descript epi: morbidity Africa - South Africa",48,NA,957-960,file://C:\literature_pdf\rm09596.pdf,S Afr Med J
JOUR,article,1003,[BCG vaccination policies as a function of the epidemiological situation],1974-01-01,"Waaler, H",49,0074-9249 (Print),181-206,http://www.ncbi.nlm.nih.gov/pubmed/4467941,Bull Int Union Tuberc
JOUR,article,1007,Tuberculosis in rural South India. A study of possible trends and the potential impact of antituberculosis programmes,1974-01-01,"Data on the dynamics of the tuberculosis situation in rural South India, obtained by the National Tuberculosis Institute, Bangalore, were fed into a mathematical model. By this means predictions about the future tuberculosis situation have been made under a wide range of hypothetical assumptions.",51,0042-9686 (Print),263-71,http://www.ncbi.nlm.nih.gov/pubmed/4549350,Bull World Health Organ
JOUR,article,638,A simple simulation model of tuberculosis epidemiology for use without large-scale computers,1975-01-01,"A large-scale computer service is not always available in many countries with tuberculosis problems needing epidemiological analysis. To facilitate work in such countries, a simple epidemiological model was made to calculate annual trends in the prevalence and incidence of tuberculosis and its infection, in tuberculosis mortality, and in BCG coverage, using average parameter values not specific for age groups or birth year cohorts. To test its approximation capabilities and limits, the model was applied to epidemiological data from Japan, where sufficient information was available from repeated nation-wide sample surveys and national statistics. The approximation was found to be satisfactory within certain limits. The model is best used with a desk-top computer, but the calculations can be performed with a small calculator or even by hand.",52,0042-9686 (Print),313-22,http://www.ncbi.nlm.nih.gov/pubmed/1084802,Bull World Health Organ
JOUR,article,639,"[Estimation of the epidemiological time trend of tuberculosis in Japan, a trial with a simple epidemiological simulation model (author's transl)]",1975-01-01,"Azuma, Y JAPAN Kekkaku. 1975 Jul;50(7):199-207.",50,0022-9776 (Print) 0022-9776 (Linking),199-207,http://www.ncbi.nlm.nih.gov/pubmed/1185919,Kekkaku
JOUR,article,932,A method for estimating the prevalence of tuberculosis infection,1975-01-01,"The prevalence of tuberculous infection in a population is generally estimated from calculating the proportion of tested individuals who react with at least 10 mm of induration to 5 TU of PPD-S tuberculin. Reactions due to infection with atypical mycobacteria, however, may cause the prevalence to be overestimated. This paper is concerned with an alternative method of estimating the prevalence of infection with Mycobacterium tuberculosis. The method utilizes population distributions of reaction size by dividing study populations into two groups--individuals with and without known exposure to tuberculosis. The mathematical model developed here removes the effect of atypical infections and provides a truer picture of tuberculous infection. Data from a Navy recruit population demonstrate the use of the model with the result that among recruits with no known exposure to tuberculosis, the estimated prevalence is reduced by about one-half. Among recuits with known exposure to tuberculosis, there is essentially no difference between the two methods. Important advantages in using this method are that probabilities of true infection by induration size are generated, and that itis less sensitive to variations caused by differences in reading techniques and in tuberculin potencies. Furthermore, it is applicable to other diseases if the underlying assumptions are met.",101,0002-9262 (Print),311-22,http://aje.oxfordjournals.org.ez.lshtm.ac.uk/content/101/4/311.full.pdf,Am J Epidemiol
JOUR,article,975,The association of the risk of tuberculous infection with age,1975-01-01,"TY - JOUR TB Transmission, pathogenesis, and epidemiology Infection with tubercle bacilli Predict epi: risk of infection Risk of infection - models L1 - file://C:\literature_pdf\rm04519.pdf",50,NA,70-81,NA,Bull.Int.Union Tuberc.
JOUR,article,1001,The risk of tuberculous infection in Norway. Tuberculosis Surveillance Research Unitn Report No. 3,1975-01-01,"TY - JOUR TB Transmission, pathogenesis, and epidemiology Infection with tubercle bacilli Predict epi: risk of infection Risk of infection - models L1 - file://C:\literature_pdf\rm04517.pdf",50,NA,5-61,NA,NA
JOUR,article,692,Maximizing health system output with political and administrative constraints using mathematical programming,1976-01-01,"Decisions about delivery programs to improve health status are characterized by indivisibilities or ""lumpiness,"" interdependencies between case types with varying health output, high fixed costs, administrative constraints, and qualitative quity and political considerations. The nature of the constraints and the goal of health services strongly suggest a mathematical programming model to maximize a comprehensive measure of health status. In a previously unreported development, binary integer programming can be extended to consider shared fixed costs, a widespread problem in optimizing effectiveness measures such as health status. The model proposed here applies conceptually across all target populations and health programs and could be used to optimize the output of a total health system. The effects of such optimization would be appropriately reflected in the weighted life expectancy computed as a social indicator.",13,0046-9580 (Print),215-27,NA,Inquiry
JOUR,article,919,Estimation of number of repeat examinations required to detect all tuberculosis cases in the community,1976-01-01,"TB Diagnosis of tuberculosis Laboratory diagnosis Specimen collection, transport and decontamination Specimen - collection",20,NA,118-121,file://C:\literature_pdf\rm13026.pdf,Indian Journal of Public Health
JOUR,article,974,"Recent studies in the epidemiology of tuberculosis, based on the risk of being infected with tubercle bacilli",1976-01-01,"TY - JOUR TB Transmission, pathogenesis, and epidemiology Infection with tubercle bacilli Etiol epi: risk of infection Risk of infection - models L1 - file://C:\literature_pdf\rm00296.pdf",19,NA,1-63,NA,Advances in Tuberculosis Research
JOUR,article,976,Alternative models for the development of tuberculosis disease following infection with tubercle bacilli,1976-01-01,"Sutherland, I",51,0074-9249 (Print),171-9,http://www.ncbi.nlm.nih.gov/pubmed/1030279,Bull Int Union Tuberc
JOUR,article,889,A simple model for planning and assessment of programmes for tuberculosis control,1977-01-01,"Nair, S S Comparative Study India Indian journal of public health Indian J Public Health. 1977 Jul-Sep;21(3):111-31.",21,0019-557X (Print) 0019-557X (Linking),111-131,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=615153file://C:\literature_pdf\rm00731.pdf,Indian Journal of Public Health
BILL,misc,633,[Application of a mathematical model for choosing the best combination of instruments for the detection and treatment of pulmonary tuberculosis],1978-01-01,NA,12,NA,455-70,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=752918,Rev Saude Publica
JOUR,article,968,Tuberculosis: generation effects and chemotherapy,1978-01-01,"TY - JOUR TB Transmission, pathogenesis, and epidemiology Tuberculosis deaths Descript epi: mortality Mortality - cohort studies",107,NA,120-126,NA,NA
JOUR,article,959,A simulation model of tuberculosis epidemiology adaptability to Indian conditions,1979-01-01,NA,26,NA,4-10,Print out in Chris's box,Indian J Tuberc
JOUR,article,872,Cost effectiveness calculations for the diagnosis and treatment of tuberculous meningitis,1980-01-01,"This study illustrates how cost-effectiveness calculations provide help in decisions involving a choice between introduction of a new diagnostic procedure or a new therapy for a particular clinical problem. This type of problem is critical for areas where financial resources are limiting. Our analysis is centered on the value of diagnosis and treatment in tuberculous meningitis (Tbm) and, because of its importance to developing countries, our epidemiologic data were derived from India. When financial costs are ignored, the introduction of second line therapy (e.g., Rifampin) leads to more cures than does the introduction of even a perfect diagnostic test. However, diagnostic tests (e.g., the Bromide partition test or possibly radioassays) markedly improve case finding and to some extent increase cure rates. All affects vary markedly with the prevalence of tuberculous meningitis in the population under study. For example, net financial savings would occur were a perfect nuclear test available and conventional therapy used at a prevalence of Tbm of 30% whereas there would be a net loss if the prevalence rose to 80%. This study underscores the need for detailed studies on the radiobromide partition test and for the development of new diagnostic tests, perhaps a radioimmunoassay of either the acid fast bacillus or of an antibody to it.",5,0340-6997 (Print),271-6,NA,Eur J Nucl Med
JOUR,article,708,The contribution of medical measures to the decline of mortality from respiratory tuberculosis: an age-period-cohort model,1982-01-01,"TY - JOUR TB Transmission, pathogenesis, and epidemiology Tuberculosis deaths Descript epi: mortality Mortality - cohort studies",19,NA,409-427,NA,Demography
BILL,misc,879,[Use of a mathematical model for evaluation of tuberculosis case-finding with mass miniature radiography (author's transl)],1982-01-01,NA,57,NA,47-57,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=6803059,Kekkaku
JOUR,article,977,"The development of clinical tuberculosis following infection with tubercle bacilli. 1. A theoretical model for the development of clinical tuberculosis following infection, linking from data on the risk of tuberculous infection and the incidence of clinical tuberculosis in the Netherlands",1982-01-01,"Information on the risk of tuberculous infection in the Netherlands has been linked with information on the incidence of tuberculosis, in an attempt to estimate the risks of developing the disease following infection or reinfection. It was postulated that: (a) those with a recent primary infection had a characteristic risk of developing progressive primary tuberculosis; (b) those with a distant (i.e. not recent) primary infection and a recent reinfection had a characteristic risk of developing exogenous tuberculosis; and (c) those with a distant primary infection but no recent reinfection had a characteristic risk of developing endogenous tuberculosis. The information on the risk of tuberculous infection was used to estimate the size of the population in each of these infection classes for different age-groups and calendar years in the Netherlands. Using multiple regression to link these population figures with the information on tuberculosis incidence in the same age group and calendar year, it was possible to estimate the above risks of developing tuberculosis. For Netherlands males aged 15-69 years during the period 1951-70 the three risks of developing pulmonary tuberculosis were estimated to be: (a) 5.06 per cent annually (for 5 years) following primary infection; (b) 1.91 per cent annually (for 5 years) following reinfection; (c) 0.0253 per cent annually, after the first 5 years following primary infection, in the absence of reinfection. The corresponding (and significantly different) estimated annual risks of development of pulmonary tuberculosis for females were 5.85, 1.10 and 0.0020 per cent respectively. From these risks, it may be estimated that the degree of protection conferred by a distant primary infection, against pulmonary tuberculosis arising from a recent reinfection, was 63 per cent for males and 81 per cent for females. The estimated relative proportions of cases of progressive primary, exogenous and endogenous tuberculosis varied considerably with age and calendar year. Progressive primary tuberculosis was dominant at the younger ages, exogenous and endogenous tuberculosis at older ages. At these older ages, the great majority of cases in the Netherlands in the early 1950s appeared to be exogenous in origin, but by 1970, with the decrease in the risk of infection, the exogenous contribution had dwindled substantially, especially among males.",63,0041-3879 (Print),255-68,http://www.ncbi.nlm.nih.gov/pubmed/6763793,Tubercle and Lung Disease
BILL,misc,983,[Measuring the effectiveness of different variants of tuberculosis control using simulation models],1983-01-01,"Simulation and predictive models of tb epidemiological trends in the Czech Socialist Republic (CSR) for the 1949-2000 period were devised taking into account several variants of tb control measures. AZUMA'S simulation model from Japan was used as the basis for the mathematical processing and adapted in different parts to satisfy the conditions prevailing in the CSR. The initial conditions and parameters to go into the equations of the model were determined or estimated from statistical data for the whole of CSR or from the results of some of the more detailed partial studies. An Olivetti P 6060 minicomputer was used for calculations. Statistical data were found in satisfactory agreement with trends estimated from model simulations. The simulation models revealed that the epidemiological trends were most influenced by the treatment, less by the BCG vaccination and the least by the active case finding. As suggested by the predictive simulations, discontinuation of the programme of tb control would result in a major deterioration of the epidemiological situation.",160,NA,148-56,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=6858243,Z Erkr Atmungsorgane
JOUR,article,961,Preventive therapy with isoniazid. Cost-effectiveness of different durations of therapy,1986-01-01,IN FILE TB Intervention strategies Preventive chemotherapy No sub-heading,255,NA,1579-1583,file://C:\literature_pdf\rm02504.pdf,JAMA
JOUR,article,945,An analysis of pulmonary tuberculosis data in Taiwan and Korea,1987-01-01,"An analysis is carried out on pulmonary tuberculosis survey data from Taiwan and Korea. A mathematical model based on a Markov process is developed and used to estimate transition rates between various disease states, as well as certain 'infection parameters', which measure the strength of the relative contributions of different disease states and of endogenous reactivation to the incidence of tuberculosis in the population. It is found that endogenous reactivation plays a primary role in generating cases, followed by chronic sources of infection, particularly those with drug-sensitive organisms. Some recommendations are made with regard to optimizing treatment regimens. The methodology can easily be applied to other countries.",16,0300-5771 (Print),584-9,http://ije.oxfordjournals.org.ez.lshtm.ac.uk/content/16/4/584.full.pdf,Int J Epidemiol
JOUR,article,835,Mass screening models for contagious diseases with no latent period,1988-01-01,"In this paper, a simplified model describing the stochastic process underlying the etiology of contagious and noncontagious diseases with mass screening is developed. Typical examples might include screening of tuberculosis in urban ghetto areas, venereal diseases in the sexually active, or AIDS in high risk population groups. The model is addressed to diseases which have zero or negligible latent periods. In the model, it is assumed that the reliabilities of the screening tests are constant, and independent of how long the population unit has the disease. Both tests with perfect and imperfect reliabilities are considered. It is shown that most of the results of a 1978 study by W.P. Pierskalla and J.A. Voelker for noncontagious diseases can be generalized for contagious diseases. A mathematical program for computing the optimal test choice and screening periods is presented. It is shown that the optimal screening schedule is equally spaced for tests with perfect reliability. Other properties relating to the managerial problems of screening frequencies, test selection, and resource allocation are also presented.",36,0030-364X (Print),917-28,NA,Oper Res
JOUR,article,871,Social networks of disease spread in the lower Illinois valley: a simulation approach,1988-01-01,"This study illustrates the use of disease modeling and simulation techniques to the study of the spread of disease within and between social networks. A Reed-Frost type model of disease spread is used to construct a simulation of the spread of tuberculosis within three prehistoric populations of the Lower Illinois River Valley during Middle Woodland, Late Woodland, and Mississippian times. A high and low population size was modeled for each time period. Late Woodland model 2 (low population estimate) is the only model that experienced pathogen extinction with host survival. The rest of the models experienced rapid and severe host population decline. The results of the simulation suggest that a social network size of between 180 and 440 persons is required under the conditions of this model for host-pathogen coexistence (i.e., endemicity) to occur. The severe population decline experienced by these populations suggests that tuberculosis as modeled here could not have existed in these populations. Future refinements of modeling and simulation techniques can provide additional insights into how disease spreads among social contacts.",77,0002-9483 (Print),483-96,http://onlinelibrary.wiley.com/doi/10.1002/ajpa.1330770409/abstract,Am J Phys Anthropol
JOUR,article,930,Tuberculosis prevention: cost-effectiveness analysis of isoniazid chemoprophylaxis,1988-01-01,"Isoniazid chemoprophylaxis is not recommended for all persons infected with tubercle bacilli. Because of the small but significant risk of isoniazid hepatotoxicity, chemoprophylaxis is reserved for only those at the highest risk of tuberculosis activation. To evaluate this policy, we performed a cost-effectiveness analysis of isoniazid chemoprophylaxis for two populations with positive tuberculin skin tests: recent tuberculin converters, who are at high risk for activation, and older tuberculin reactors, who have a low risk for activation and for whom chemoprophylaxis is not now recommended. The cost-effectiveness ratios found were stable, despite wide variations in model assumptions and probability estimates. For high-risk tuberculin reactors, chemoprophylaxis resulted in net medical care monetary savings, extended life expectancy, and fewer fatal illnesses. For low-risk tuberculin reactors, chemoprophylaxis resulted in positive, but small, health effects. Because the cost to gain these positive effects were also small, the resulting cost-effectiveness ratios were reasonable and in the realm of accepted prevention strategies: $12,625 to gain one year of life and $35,011 to avert one death. These findings suggest that the current policy is too restrictive and that many in the large population of low-risk tuberculin reactors should be considered for isoniazid chemoprophylaxis.",4,0749-3797 (Print) 0749-3797 (Linking),102-9,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=3134928,Am J Prev Med
JOUR,article,618,"Past, present and future trends in tuberculosis epidemiology in a region of northern Italy. An analysis carried out through the application of a simulation model (Eskimo)",1989-01-01,"The epidemiological model Eskimo has been utilized to simulate some epidemiological parameters relative to tuberculosis in a restricted geographical area of northern Italy. After having identified a series of features relative to the regimens applied in the area in the period 1982-86 and which were found to be compatible with the observed data, this hypothesis has been utilized to project data on tuberculosis for the period 1986-1996. The results have indicated that the incidence in the area should stabilize around values of 20 new cases per year (per 100,000 population). A decrease in the incidence can be expected to occur only if the regimens so far employed are brought to a greater part of the patients' population (increasing coverage). The effects of importing the disease from developing countries through immigration and of the AIDS epidemic are likely to negatively affect the trend of tuberculosis incidence in the future.",36,0017-0445 (Print),11-6,NA,G Ital Chemioter
JOUR,article,817,Epidemiological model and cost-effectiveness analysis of tuberculosis treatment programmes in Indonesia,1989-01-01,"An epidemiological model of tuberculosis, based on the natural history of tuberculosis and the control programmes in Indonesia, was constructed. This model was used for estimating future tuberculosis-prevented cases and costs for three treatment strategies--the 100% standard course, the 100% short course, and the existing strategy (a combination of 65% standard course and 35% short course)--in accordance with the master plan of the Indonesian Government's tuberculosis control programme. A cost-effectiveness analysis of the three strategies confirmed that the short-course strategy was the most cost-effective. Sensitivity analysis, which applied a broad range of parameters, continued to confirm the short-course strategy as the most cost-effective. If the short-course strategy had been applied in 1980 instead of the existing strategy (using the most likely parameters), the short-course strategy would prevent 1.8 million sputum-positive cases and would save 61.0 million dollars by the year 2000.",18,0300-5771 (Print),174-9,http://www.ncbi.nlm.nih.gov/pubmed/2498217,Int J Epidemiol
JOUR,article,766,A cost-effectiveness analysis of the routine use of isoniazid prophylaxis in patients with a positive Mantoux skin test,1990-01-01,"The role of isoniazid prophylaxis in low-risk patients with positive Mantoux skin tests has recently been questioned. In general, recent research has focused on the risk/benefit ratio. We, therefore, decided to extend these data and apply a cost-effectiveness analysis of the routine use of isoniazid prophylaxis from a societal perspective. Costs per case prevented were calculated for a 20-, 50-, and 70-yr-old low-risk patient who had a positive Mantoux test with base, high, and low costings. Rates were also calculated based on the use of direct costs alone and direct and indirect costs combined. Costs varied from Canadian $8,586.00 in a 20-yr-old patient to $40,102.00 in a 70-yr-old patient per case prevented based on direct costs with costs ranging from $3,236.00 to $11,320.00 with both direct and indirect costs included. These costs could be considered reasonable from a societal perspective but do not address the issue of any increased life expectancy resulting from chemoprophylaxis.",142,0003-0805 (Print),848-53,NA,Am Rev Respir Dis
JOUR,article,888,Transition dynamics of HIV disease in a cohort of African prostitutes: a Markov model approach,1990-01-01,The progression of HIV-related disease from infection to death is represented as a staged Markov model. Transitions between stages are considered reversible. The model is fitted to data from a cohort of African prostitutes by means of maximum likelihood. It appears that the progression to symptomatic disease (Centers for Disease Control stage IV) in this population is considerably more rapid than that reported from studies in Western countries.,4,0269-9370 (Print),743-7,NA,AIDS
JOUR,article,642,A mathematical construct of epidemiological time trend in tuberculosis - a fifty year study,1992-01-01,"IN FILE TB Transmission, pathogenesis, and epidemiology Tuberculosis Predict epi of morbidity: prospects for the epidemic",39,NA,87-98,file://C:\literature_pdf\rm12954.pdf,Indian J Tuberc
